group,model_name,nmae,ficr,score
1,Persistence_oracle_lag1,0.05044500903126834,0.6239349316782744,0.786744961323503
1,SVR,0.2314539366301468,0.08472453428614214,0.42663529882799767
1,LSTM,0.21030454723141456,0.1583793066542859,0.47403737971143567
2,Persistence_oracle_lag1,0.047475126457803225,0.6673531451575468,0.8099390093498717
2,SVR,0.24909570191013916,0.07342807371295051,0.41216618590140564
2,LSTM,0.22593539684338526,0.2305436068401586,0.5023041049983866
3,Persistence_oracle_lag1,0.04248099731149945,0.6255592239049557,0.7915391132967281
3,SVR,0.2032991352858844,0.09021677066270371,0.44345881768840967
3,LSTM,0.15895464036953394,0.1641555079562189,0.5026004337933425
