group,model_name,n_features,nmae,ficr,score,mae,rmse
1,LGBM_full,127,0.08085905778816686,0.3880287944413666,0.6535848683265999,1746.5556482244042,2699.7018661086768
1,Persistence_oracle_lag1,0,0.05044500903126834,0.6239349316782744,0.786744961323503,1089.612195075396,1788.1164883133213
2,LGBM_full,127,0.07970611396716352,0.42440673536808277,0.6723503107004596,1721.652061690732,2673.3156086751983
2,Persistence_oracle_lag1,0,0.047475126457803225,0.6673531451575468,0.8099390093498717,1025.4627314885497,1698.3461013549595
3,LGBM_full,127,0.07184668511653916,0.3584862370095864,0.6433197759465237,1508.7803874473223,2530.8707859469914
3,Persistence_oracle_lag1,0,0.04248099731149945,0.6255592239049557,0.7915391132967281,892.1009435414885,1560.7865686208763
1,LGBM_selected,86,0.08053793315463927,0.39130444235507067,0.6553832546002156,1739.6193561402079,2693.7856111491233
2,LGBM_selected,86,0.07935800320908144,0.4301581303439533,0.6754000635674359,1714.132869316159,2669.950394947039
3,LGBM_selected,82,0.0711834505686895,0.3649589356950866,0.6468877425631986,1494.8524619424795,2497.3832207791347
