model_name,mean_nmae,mean_ficr,mean_mae,mean_rmse,mean_features,groups,official_score
Persistence_oracle_lag1,0.04666287166693458,0.6397615272323329,999.4299468647887,1680.419809595759,0.0,3,0.7965493277826992
LSTM_v1_shap_selected,0.08331273130927687,0.4086670909724062,1783.1669047382068,2746.002911421588,84.66666666666667,3,0.6626771798315647
LSTM_v2_shap_selected,0.08477917185500715,0.4074472354730975,1815.796534285834,2783.06442070139,84.66666666666667,3,0.6613340318090452
LGBM_selected,0.07701225969114522,0.394796436492796,1649.1908516544493,2621.9650748811932,84.66666666666667,3,0.6588920884008254
LGBM_ficr,0.0772169888677337,0.3924823005668558,1653.5340328064856,2626.017143505313,84.66666666666667,3,0.6576326558495611
LGBM_full,0.07745881083861156,0.3891721767346892,1658.7036298564542,2636.602579330285,127.0,3,0.6558566829480388
LSTM_v3_shap_selected,0.09029783593358835,0.39537702400857566,1934.3280324241575,2917.158116361554,84.66666666666667,3,0.6525395940374936
